author,text
Есенин,"Опять раскинулся узорно
Над белым полем багрянец,
И заливается задорно
Нижегородский бубенец.
Под затуманенною дымкой
Ты кажешь девичью красу,
И треплет ветер под косынкой
Рыжеволосую косу.
Дуга, раскалываясь, пляшет,
То выныряя, то пропав,
Не заворожит, не обмашет
Твой разукрашенный рукав.
Уже давно мне стала сниться
Полей малиновая ширь,
Тебе - высокая светлица,
А мне - далекий монастырь.
Там синь и полымя воздушней
И легкодымней пелена.
Я буду ласковый послушник,
А ты - разгульная жена.
И знаю я, мы оба станем
Грустить в упругой тишине:
Я по тебе - в глухом тумане,
А ты заплачешь обо мне.

Но и поняв, я не приемлю
Ни тихих ласк, ни глубины -
Глаза, увидевшие землю,
В иную землю влюблены."
Есенин,"Заиграй, сыграй, тальяночка, малиновы меха.
Выходи встречать к околице, красотка, жениха.
Васильками сердце светится, горит в нем бирюза.
Я играю на тальяночке про синие глаза.
То не зори в струях озера свой выткали узор,
Твой платок, шитьем украшенный, мелькнул за косогор.
Заиграй, сыграй, тальяночка, малиновы меха.
Пусть послушает красавица прибаски жениха."
Есенин,"Ты поила коня из горстей в поводу,
Отражаясь, березы ломались в пруду.
Я смотрел из окошка на синий платок,
Кудри черные змейно трепал ветерок.
Мне хотелось в мерцании пенистых струй
С алых губ твоих с болью сорвать поцелуй.
Но с лукавой улыбкой, брызнув на меня,
Унеслася ты вскачь, удилами звеня.
В пряже солнечных дней время выткало нить.
Мимо окон тебя понесли хоронить.

И под плач панихид, под кадильный канон,
Все мне чудился тихий раскованный звон."
Есенин,"Выткался на озере алый свет зари.
На бору со звонами плачут глухари.
Плачет где-то иволга, схоронясь в дупло.
Только мне не плачется - на душе светло.
Знаю, выйдешь к вечеру за кольцо дорог,
Сядем в копны свежие под соседний стог.
Зацелую допьяна, изомну, как цвет,
Хмельному от радости пересуду нет.

Ты сама под ласками сбросишь шелк фаты,
Унесу я пьяную до утра в кусты.

И пускай со звонами плачут глухари.
Есть тоска веселая в алостях зари."
Есенин,"Матушка в Купальницу по лесу ходила,
Босая, с подтыками, по росе бродила.
Травы ворожбиные ноги ей кололи,
Плакала родимая в купырях от боли.
Не дознамо печени судорга схватила,
Охнула кормилица, тут и породила.
Родился я с песнями в травном одеяле.
Зори меня вешние в радугу свивали.
Вырос я до зрелости, внук купальской ночи,
Сутемень колдовная счастье мне пророчит.

Только не по совести счастье наготове,
Выбираю удалью и глаза и брови.

Как снежинка белая, в просини я таю
Да к судьбе-разлучнице след свой заметаю."
Есенин,"Зашумели над затоном тростники.
Плачет девушка-царевна у реки.
Погадала красна девица в семик.
Расплела волна венок из повилик.
Ах, не выйти в жены девушке весной,
Запугал ее приметами лесной.
На березке пообъедена кора, -
Выживают мыши девушку с двора.
Бьются кони, грозно машут головой, -
Ой, не любит черны косы домовой.

Запах ладана от рощи ели льют,
Звонки ветры панихидную поют.

Ходит девушка по бережку грустна,
Ткет ей саван нежнопенная волна."
Есенин,"Троицыно утро, утренний канон,
В роще по березкам белый перезвон.
Тянется деревня с праздничного сна,
В благовесте ветра хмельная весна.
На резных окошках ленты и кусты.
Я пойду к обедне плакать на цветы.
Пойте в чаще, птахи, я вам подпою,
Похороним вместе молодость мою.
Троицыно утро, утренний канон.
В роще по березкам белый перезвон."
Есенин,"Туча кружево в роще связала,
Закурился пахучий туман.
Еду грязной дорогой с вокзала
Вдалеке от родимых полян.
Лес застыл без печали и шума,
Виснет темь, как платок, за сосной.
Сердце гложет плакучая дума...
Ой, не весел ты, край мой родной.
Пригорюнились девушки-ели,
И поет мой ямщик на-умяк:
""Я умру на тюремной постели,
Похоронят меня кое-как""."
Есенин,"Дымом половодье
Зализало ил.
Желтые поводья
Месяц уронил.
Еду на баркасе,
Тычусь в берега.
Церквами у прясел
Рыжие стога.
Заунывным карком
В тишину болот
Черная глухарка
К всенощной зовет.
Роща синим мраком
Кроет голытьбу...
Помолюсь украдкой
За твою судьбу."
Есенин,"Сыплет черемуха снегом,
Зелень в цвету и росе.
В поле, склоняясь к побегам,
Ходят грачи в полосе.
Никнут шелковые травы,
Пахнет смолистой сосной.
Ой вы, луга и дубравы, -
Я одурманен весной.
Радуют тайные вести,
Светятся в душу мою.
Думаю я о невесте,
Только о ней лишь пою.
Сыпь ты, черемуха, снегом,
Пойте вы, птахи, в лесу.
По полю зыбистым бегом
Пеной я цвет разнесу."
Есенин,"На плетнях висят баранки,
Хлебной брагой льет теплынь.
Солнца струганые дранки
Загораживают синь.
Балаганы, пни и колья,
Карусельный пересвист.
От вихлистого приволья
Гнутся травы, мнется лист.
Дробь копыт и хрип торговок,
Пьяный пах медовых сот.
Берегись, коли не ловок:
Вихорь пылью разметет.
За лещужною сурьмою -
Бабий крик, как поутру.
Не твоя ли шаль с каймою
Зеленеет на ветру?
Ой, удал и многосказен
Лад веселый на пыжну.
Запевай, как Стенька Разин
Утопил свою княжну.

Ты ли, Русь, тропой-дорогой
Разметала ал наряд?
Не суди молитвой строгой
Напоенный сердцем взгляд."
Есенин,"Проходили калики деревнями,
Выпивали под окнами квасу,
У церквей пред затворами древними
Поклонялись пречистому Спасу.
Пробиралися странники по полю,
Пели стих о сладчайшем Исусе.
Мимо клячи с поклажею топали,
Подпевали горластые гуси.
Ковыляли убогие по стаду,
Говорили страдальные речи:
""Все единому служим мы господу,
Возлагая вериги на плечи"".

Вынимали калики поспешливо
Для коров сбереженные крохи.
И кричали пастушки насмешливо:
""Девки, в пляску!  Идут скоморохи!"""
Есенин,"Задымился вечер, дремлет кот на брусе,
Кто-то помолился: ""Господи Исусе"".
Полыхают зори, круятся туманы,
Над резным окошком занавес багряный.
Вьются паутины с золотой повети.
Где-то мышь скребется в затворенной клети...
У лесной поляны - в свяслах копны хлеба,
Ели, словно копья, уперлися в небо.
Закадили дымом под росою рощи...
В сердце почивают тишина и мощи."
Есенин,"Край любимый!  Сердцу снятся
Скирды солнца в водах лонных.
Я хотел бы затеряться
В зеленях твоих стозвонных.
По меже, на переметке,
Резеда и риза кашки.
И вызванивают в четки
Ивы - кроткие монашки.
Курит облаком болото,
Гарь в небесном коромысле.
С тихой тайной для кого-то
Затаил я в сердце мысли.
Все встречаю, все приемлю,
Рад и счастлив душу вынуть.
Я пришел на эту землю,
Чтоб скорей ее покинуть."
Есенин,"Пойду в скуфье смиренным иноком
Иль белобрысым босяком -
Туда, где льется по равнинам
Березовое молоко.
Хочу концы земли измерить,
Доверясь призрачной звезде,
И в счастье ближнего поверить
В звенящей рожью борозде.
Рассвет рукой прохлады росной
Сшибает яблоки зари
Сгребая сено на покосах,
Поют мне песни косари.
Глядя за кольца лычных прясел,
Я говорю с самим собой:
Счастлив, кто жизнь свою украсил
Бродяжной палкой и сумой.
Счастлив, кто в радости убогой,
Живя без друга и врага,
Пройдет проселочной дорогой,
Молясь на копны и стога."
Есенин,"Шел господь пытать людей в любви,
Выходил он нищим на кулижку.
Старый дед на пне сухом, в дуброве,
Жамкал деснами зачерствелую пышку.
Увидал дед нищего дорогой,
На тропинке, с клюшкою железной,
И подумал:  ""Вишь, какой убогой, -
Знать, от голода качается, болезный"".
Подошел господь, скрывая скорбь и муку:
Видно, мол, сердца их не разбудишь...
И сказал старик, протягивая руку:
""На, пожуй... маленько крепче будешь""."
Есенин,"Тихо в чаще можжевеля по обрыву.
Осень - рыжая кобыла - чешет гривы.
Над речным покровом берегов
Слышен синий лязг ее подков.
Схимник-ветер шагом осторожным
Мнет листву по выступам дорожным
И целует на рябиновом кусту
Язвы красные незримому Христу."
Есенин,"Не ветры осыпают пущи,
Не листопад златит холмы.
С голубизны незримой кущи
Струятся звездные псалмы.
Я вижу - в просиничном плате,
На легкокрылых облаках,
Идет возлюбленная мати
С пречистым сыном на руках.
Она несет для мира снова
Распять воскресшего Христа:
""Ходи, мой сын, живи вез крова,
Зорюй и полднюй у куста"".
И в каждом страннике убогом
Я вызнавать пойду с тоской,
Не помазуемый ли богом
Стучит берестяной клюкой.
И может быть, пройду я мимо
И не замечу в тайный час,
Что в елях - крылья херувима,
А под пеньком - голодный Спас."
Есенин,"Пахнет рыхлыми драченами;
У порога в дежке квас,
Над печурками точеными
Тараканы лезут в паз.
Вьется сажа над заслонкою,
В печке нитки попелиц,
А на лавке за солонкою -
Шелуха сырых яиц.
Мать с ухватами не сладится,
Нагибается низко,
Старый кот к махотке крадется
На парное молоко.
Квохчут куры беспокойные
Над оглоблями сохи,
На дворе обедню стройную
Запевают петухи.
А в окне на сени скатые,
От пугливой шумоты,
Из углов щенки кудлатые
Заползают в хомуты."
Есенин,"По селу тропинкой кривенькой
В летний вечер голубой
Рекрута ходили с ливенкой
Разухабистой гурьбой.
Распевали про любимые
Да последние деньки:
""Ты прощай, село родимое,
Темна роща и пеньки"".
Зори пенились и таяли.
Все кричали, пяча грудь:
""До рекрутства горе маяли,
А теперь пора гульнуть"".
Размахнув кудрями русыми,
В пляс пускались весело.
Девки брякали им бусами,
Зазывали за село.
Выходили парни бравые
За гуменные плетни,
А девчоночки лукавые
Убегали, - догони!
Над зелеными пригорками
Развевалися платки.
По полям, бредя с кошелками,
Улыбались старики.

По кустам, в траве над лыками,
Под пугливый возглас сов,
Им смеялась роща зыками
С переливом голосов.

По селу тропинкой кривенькой,
Ободравшись о пеньки,
Рекрута играли в ливенку
Про остальние деньки."
Есенин,"Гой ты, Русь, моя родная,
Хаты - в ризах образа...
Не видать конца и края -
Только синь сосет глаза.
Как захожий богомолец,
Я смотрю твои поля.
А у низеньких околиц
Звонно чахнут тополя.
Пахнет яблоком и медом
По церквам твой кроткий Спас.
И гудит за корогодом
На лугах веселый пляс.
Побегу по мятой стежке
На приволь зеленых лех,
Мне навстречу, как сережки,
Прозвенит девичий смех.
Если крикнет рать святая:
""Кинь ты Русь, живи в раю!""
Я скажу: ""Не надо рая,
Дайте родину мою""."
Есенин,"Я пастух, мои палаты -
Межи зыбистых полей,
По горам зеленым - скаты
С гарком гулких дупелей.
Вяжут кружево над лесом
В желтой пене облака.
В тихой дреме под навесом
Слышу шепот сосняка.
Светят зелено в сутемы
Под росою тополя.
Я - пастух; мои хоромы -
В мягкой зелени поля.
Говорят со мной коровы
На кивливом языке.
Духовитые дубровы
Кличут ветками к реке.
Позабыв людское горе,
Сплю на вырублях сучья.
Я молюсь на алы зори,
Причащаюсь у ручья."
Есенин,"Сторона ль моя, сторонка,
Горевая полоса.
Только лес, да посолонка,
Да заречная коса...
Чахнет старая церквушка,
В облака закинув крест.
И забольная кукушка
Не летит с печальных мест.
По тебе ль, моей сторонке,
В половодье каждый год
С подожочка и котомки
Богомольный льется пот.
Лица пыльны, загорелы,
Веко выглодала даль,
И впилась в худое тело
Спаса кроткого печаль."
Есенин,"Сохнет стаявшая глина,
На сугорьях гниль опенок.
Пляшет ветер по равнинам,
Рыжий ласковый осленок.
Пахнет вербой и смолою.
Синь то дремлет, то вздыхает.
У лесного аналоя
Воробей псалтырь читает.
Прошлогодний лист в овраге
Средь кустов - как ворох меди.
Кто-то в солнечной сермяге
На осленке рыжем едет.
Прядь волос нежней кудели,
Но лицо его туманно.
Никнут сосны, никнут ели
И кричат ему:  ""Осанна!"""
Есенин,"Чую радуницу божью -
Не напрасно я живу,
Поклоняюсь придорожью,
Припадаю на траву.
Между сосен, между елок,
Меж берез кудрявых бус,
Под венком, в кольце иголок,
Мне мерещится Исус.
Он зовет меня в дубровы,
Как во царствие небес,
И горит в парче лиловой
Облаками крытый лес.
Голубиный дух от бога,
Словно огненный язык,
Завладел моей дорогой,
Заглушил мой слабый крик.
Льется пламя в бездну зренья,
В сердце радость детских снов,
Я поверил от рожденья
В богородицын покров."
Есенин,"По дороге идут богомолки,
Под ногами полынь да комли.
Раздвигая щипульные колки,
На канавах звенят костыли.
Топчут лапти по полю кукольни,
Где-то ржанье и храп табуна,
И зовет их с большой колокольни
Гулкий звон, словно зык чугуна.
Отряхают старухи дулейки,
Вяжут девки косницы до пят.
Из подворья с высокой келейки
На платки их монахи глядят.
На вратах монастырские знаки:
""Упокою грядущих ко мне"",
А в саду разбрехались собаки,
Словно чуя воров на гумне.

Лижут сумерки золото солнца,
В дальних рощах аукает звон...
По тени от ветлы-веретенца
Богомолки идут на канон."
Есенин,"Край ты мой заброшенный,
Край ты мой, пустырь,
Сенокос некошеный,
Лес да монастырь.
Избы забоченились,
А и всех-то пять.
Крыши их запенились
В заревую гать.
Под соломой-ризою
Выструги стропил,
Ветер плесень сизую
Солнцем окропил.

В окна бьют без промаха
Вороны крылом,
Как метель, черемуха
Машет рукавом.

Уж не сказ ли в прутнике
Жисть твоя и быль,
Что под вечер путнику
Нашептал ковыль?"
Есенин,"Заглушила засуха засевки,
Сохнет рожь, и не всходят овсы.
На молебен с хоругвями девки
Потащились в комлях полосы.
Собрались прихожане у чаши,
Лихоманную грусть затая.
Загузынил дьячишко ледащий:
""Спаси, господи, люди твоя"".
Открывались небесные двери,
Дьякон бавкнул из кряжистых сил:
""Еще молимся, братья, о вере,
Чтобы бог нам поля оросил"".

Заливались веселые птахи,
Крапал брызгами поп из горстей,
Стрекотуньи-сороки, как свахи,
Накликали дождливых гостей.

Зыбко пенились зори за рощей,
Как холстины ползли облака,
И туманно по быльнице тощей
Меж кустов ворковала река.

Скинув шапки, молясь и вздыхая,
Говорили промеж мужики:
""Колосилась-то ярь неплохая,
Да сгубили сухие деньки"".

На коне - черной тучице в санках -
Билось пламя-шлея... синь и дрожь.
И кричали парнишки в еланках:
""Дождик, дождик, полей нашу рожь!"""
Есенин,"Черная, потом пропахшая выть!
Как мне тебя не ласкать, не любить?
Выйду на озеро в синюю гать,
К сердцу вечерняя льнет благодать.
Серым веретьем стоят шалаши,
Глухо баюкают хлюпь камыши.
Красный костер окровил таганы,
В хворосте белые веки луны.
Тихо, на корточках, в пятнах зари
Слушают сказ старика косари.

Где-то вдали, на кукане реки,
Дремную песню поют рыбаки.

Оловом светится лужная голь...
Грустная песня, ты - русская боль."
Есенин,"Топи да болота,
Синий плат небес.
Хвойной позолотой
Взвенивает лес.
Тенькает синица
Меж лесных кудрей,
Темным елям снится
Гомон косарей.
По лугу со скрипом
Тянется обоз -
Суховатой липой
Пахнет от колес.
Слухают ракиты
Посвист ветряной...
Край ты мой забытый,
Край ты мой родной!.."
Есенин,"За темной прядью перелесиц,
В неколебимой синеве,
Ягненочек кудрявый - месяц
Гуляет в голубой траве.
В затихшем озере с осокой
Бодаются его рога, -
И кажется с тропы далекой -
Вода качает берега.
А степь под пологом зеленым
Кадит черемуховый дым
И за долинами по склонам
Свивает полымя над ним.
О сторона ковыльной пущи,
Ты сердцу ровностью близка,
Но и в твоей таится гуще
Солончаковая тоска.

И ты, как я, в печальной требе,
Забыв, кто друг тебе и враг,
О розовом тоскуешь небе
И голубиных облаках.

Но и тебе из синей шири
Пугливо кажет темнота
И кандалы твоей Сибири,
И горб Уральского хребта."
Есенин,"В том краю, тде желтая крапива
И сухой плетень,
Приютились к вербам сиротливо
Избы деревень.
Там в полях, за синей гущей лога,
В зелени озер,
Пролегла песчаная дорога
До сибирских гор.
Затерялась Русь в Мордве и Чуди,
Нипочем ей страх.
И идут по той дороге люди,
Люди в кандалах.
Все они убийцы или воры,
Как судил им рок.
Полюбил я грустные их взоры
С впадинами щек.

Много зла от радости в убийцах,
    Их сердца просты,
Но кривятся в почернелых лицах
    Голубые рты.

Я одну мечту, скрывая, нежу,
    Что я сердцем чист.
Но и я кого-нибудь зарежу
    Под осенний свист.

И меня по ветряному свею,
    По тому ль песку,
Поведут с веревкою на шее
    Полюбить тоску.

И когда с улыбкой мимоходом
    Распрямлю я грудь,
Языком залижет непогода
    Прожитой мой путь."
Есенин,"Я снова здесь, в семье родной,
Мой край, задумчивый и нежный!
Кудрявый сумрак за горой
Рукою машет белоснежной.
Седины пасмурного дня
Плывут всклокоченные мимо,
И грусть вечерняя меня
Волнует непреодолимо.
Над куполом церковных глав
Тень от зари упала ниже.
О други игрищ и забав,
Уж я вас больше не увижу!
В забвенье канули года,
Вослед и вы ушли куда-то.
И лишь по-прежнему вода
Шумит за мельницей крылатой.

И часто я в вечерней мгле,
Под звон надломленной осоки,
Молюсь дымящейся земле
О невозвратных и далеких."
Есенин,"Не бродить, не мять в кустах багряных
Лебеды и не искать следа.
Со снопом волос твоих овсяных
Отоснилась ты мне навсегда.
С алым соком ягоды на коже,
Нежная, красивая, была
На закат ты розовый похожа
И, как снег, лучиста и светла.
Зерна глаз твоих осыпались, завяли,
Имя тонкое растаяло, как звук,
Но остался в складках смятой шали
Запах меда от невинных рук.

В тихий час, когда заря на крыше,
Как котенок, моет лапкой рот,
Говор кроткий о тебе я слышу
Водяных поющих с ветром сот.

Пусть порой мне шепчет синий вечер,
Что была ты песня и мечта,
Все ж, кто выдумал твой гибкий стан
              и плечи -
К светлой тайне приложил уста.

Не бродить, не мять в кустах багряных
Лебеды и не искать следа.
Со снопом волос твоих овсяных
Отоснилась ты мне навсегда."
Есенин,"О красном вечере задумалась дорога,
Кусты рябин туманней глубины.
Изба-старуха челюстью порога
Жует пахучий мякиш тишины.
Осенний холод ласково и кротко
Крадется мглой к овсяному двору;
Сквозь синь стекла желтоволосый отрок
Лучит глаза на галочью игру.
Обняв трубу, сверкает по повети
Зола зеленая из розовой печи.
Кого-то нет, и тонкогубый ветер
О ком-то шепчет, сгинувшем в ночи.

Кому-то пятками уже не мять по рощам
Щербленый лист и золото травы.
Тягучий вздох, ныряя звоном тощим,
Целует клюв нахохленной совы.

Все гуще хмарь, в хлеву покой и дрема,
Дорога белая узорит скользкий ров...
И нежно охает ячменная солома,
Свисая с губ кивающих коров."
Есенин,"Нощь и поле, и крик петухов...
С златной тучки глядит Саваоф.
Хлесткий ветер в равнинную синь
Катит яблоки с тощих осин.
Вот она, невеселая рябь
С журавлиной тоской сентября!
Смолкшим колоколом над прудом
Опрокинулся отчий дом.
Здесь все так же, как было тогда,
Те же реки и те же стада.
Только ивы над красным бугром
Обветшалым трясут подолом.

Кто-то сгиб, кто-то канул во тьму,
Уж кому-то не петь на холму.
Мирно грезит родимый очаг
О погибших во мраке плечах.

Тихо-тихо в божничном углу,
Месяц месит кутью на полу...
Но тревожит лишь помином тишь
Из запечья пугливая мышь."
Есенин,"О край дождей и непогоды,
Кочующая тишина,
Ковригой хлебною под сводом
Надломлена твоя луна.
За перепаханною нивой
Малиновая лебеда.
На ветке облака, как слива,
Златится спелая звезда.
Опять дорогой верстовою,
Наперекор твоей беде,
Бреду и чую яровое
По голубеющей воде.

Клубит и пляшет дым болотный...
Но и в кошме певучей тьмы
Неизреченностью животной
Напоены твои холмы."
Есенин,"В прозрачном холоде заголубели долы,
Отчетлив стук подкованных копыт,
Трава поблекшая в расстеленные полы
Сбирает медь с обветренных ракит.
С пустых лощин ползет дугою тощей
Сырой туман, курчаво свившись в мох,
И вечер, свецившись над речкою, полощет
Водою белой пальцы синих ног.
Осенним холодом расцвечены надежды,
Бредет мой конь, как тихая судьба,
И ловит край махающей одежды
Его чуть мокрая буланая губа.
В дорогу дальнюю, не к битве, не к покою,
Влекут меня незримые следы,
Погаснет день, мелькнув пятой златою,
И в короб лет улягутся труды.
Сыпучей ржавчиной краснеют по дороге
Холмы плешивые и слегшийся песок,
И пляшет сумрак в галочьей тревоге,
Согнув луну в пастушеский рожок.
Молочный дым качает ветром села,
Но ветра нет, есть только легкий звон.
И дремлет Русь в тоске своей веселой,
Вцепивши руки в желтый крутосклон.
Манит ночлег, недалеко до хаты,
Укропом вялым пахнет огород.
На грядки серые капусты волноватой
Рожок луны по капле масло льет.
Тянусь к теплу, вдыхаю мягкость хлеба
И с хруптом мысленно кусаю огурцы,
За ровной гладью вздрогнувшее небо
Выводит облако из стойла под уздцы.

Ночлег, ночлег, мне издавна знакома
Твоя попутная разымчивость в крови,
Хозяйка спит, а свежая солома
Примята ляжками вдовеющей любви.

Уже светает, краской тараканьей
Обведена божница по углу,
Но мелкий дождь своей молитвой ранней
Еще стучит по мутному стеклу.

  *

Опять передо мною голубое поле,
Качают лужи солнца рдяный лик.
Иные в сердце радости и боли,
И новый говор липнет на язык.

Водою зыбкой стынет синь во взорах,
Бредет мой конь, откинув удила,
И горстью смуглою листвы последний ворох
Кидает ветер вслед из подола."
Есенин,"Колокольчик среброзвонный,
Ты поешь?  Иль сердцу снится?
Свет от розовой иконы
На златых моих ресницах.

Пусть не я тот нежный отрок
В голубином крыльев плеске,
Сон мой радостен и кроток
О нездешнем перелеске.

Мне не нужен вздох могилы,
Слову с тайной не обняться.
Научи, чтоб можно было
Никогда не просыпаться."
Есенин,"Запели тесаные дроги,
Бегут равнины и кусты.
Опять часовни на дороге
И поминальные кресты.
Опять я теплой грустью болен
От овсяного ветерка.
И на известку колоколен
Невольно крестится рука.
О Русь - малиновое поле
И синь, упавшая в реку, -
Люблю до радости и боли
Твою озерную тоску.
Холодной скорби не измерить,
Ты на туманном берегу.
Но не любить тебя, не верить -
Я научиться не могу.

И не отдам я эти цепи,
И не расстанусь с долгим сном,
Когда звенят родные степи
Молитвословным ковылем."
Есенин,"Не напрасно дули ветры,
Не напрасно шла гроза.
Кто-то тайный тихим светом
Напоил мои глаза.
С чьей-то ласковости вешней
Отгрустил я в синей мгле
О прекрасной, но нездешней,
Неразгаданной земле.
Не гнетет немая млечность
Не тревожит звездный страх.
Полюбил я мир и вечность
Как родительский очаг.

Все в них благостно и свято,
Все тревожное светло.
Плещет рдяный мак заката
На озерное стекло.

И невольно в море хлеба
Рвется образ с языка:
Отелившееся небо
Лижет красного телка."
Есенин,"Дряхлая, выпали зубы,
Свиток годов на рогах.
Бил ее выгонщик грубый
На перегонных полях.
Сердце неласково к шуму,
Мыши скребут в уголке.
Думает грустную луму
О белоногом телке.
Не дали матери сына,
Первая радость не впрок.
И на колу под осиной
Шкуру трепал ветерок.

Скоро на гречневом свее,
С той же сыновней судьбой,
Свяжут ей петлю на шее
И поведут на убой.

Жалобно, грустно и тоще
В землю вопьются рога...
Снится ей белая роща
И травяные луга."
Есенин,"Под красным вязом крыльцо и двор,
Луна над крышей, как злат бугор.
На синих окнах накапан лик:
Бредет по туче седой Старик.
Он смуглой горстью меж тихих древ
Бросает звезды - озимый сев.
Взрастает нива, и зерна душ
Со звоном неба спадают в глушь.
Я помню время, оно, как звук,
Стучало клювом в древесный сук.

Я был во злаке, но костный ум
Уж верил в поле и водный шум.

В меже под елью, где облак-тын,
Мне снились реки златых долин.

И слышал дух мой про край холмов,
Где есть рожденье в посеве слов."
